feature,n_subject_pairs,rest_mean,workload_mean,mean_difference_workload_minus_rest,paired_t_statistic,paired_t_p,wilcoxon_statistic,wilcoxon_p,cohens_dz,abs_cohens_dz,paired_t_q_fdr,wilcoxon_q_fdr
hjorth_Cz_complexity,36,2.4258038061217,2.6825639607813194,0.25676015465961916,4.40332695326002,9.57894875243784e-05,91.0,5.596954724751413e-05,0.733887825541239,0.733887825541239,0.0014020097719477202,0.0004951152256510865
stat_O1_rms,36,12.46826809261378,10.810219082036603,-1.6580490105771792,-4.394545847972602,9.831261857722394e-05,89.0,4.721074947156012e-05,-0.7324243079951102,0.7324243079951102,0.001413243892047594,0.00043683509568512524
region_other_band_rel_mean_gamma,36,0.024727709466937545,0.033904743116773085,0.00917703364983555,4.387689414260942,0.00010032808587606738,102.0,0.0001365947537124157,0.7312815689852173,0.7312815689852173,0.0014169141952672674,0.0008590529432694893
band_abs_Fp2_gamma,36,1.8222507207903809,2.6772607991507433,0.8550100783603629,4.365922219073973,0.00010699978075799173,102.0,0.0001365947537124157,0.727653703178376,0.727653703178376,0.00145293140065266,0.0008590529432694893
band_rel_O2_gamma,36,0.011840219319934536,0.017032516503953002,0.005192297184018469,4.364022230555521,0.00010760242466691607,55.0,1.636421075090766e-06,0.7273370383240346,0.7273370383240346,0.00145293140065266,8.782126436320443e-05
band_abs_P4_theta,36,14.787658793070964,11.252468307019672,-3.53519048605129,-4.36185776654612,0.00010829302365112994,96.0,8.471510955132544e-05,-0.7269762944242038,0.7269762944242038,0.00145293140065266,0.0006557275306617017
stat_T3_ptp,36,54.7382159294853,48.874608481896445,-5.863607447588858,-4.350860304309577,0.00011186979506948048,82.0,2.5482935598120093e-05,-0.7251433840515064,0.7251433840515064,0.0014755487192839255,0.0003362911992866668
hemisphere_left_band_rel_mean_alpha,36,0.266513703405766,0.20410904826547444,-0.06240465514029149,-4.345530596106618,0.0001136447460814949,91.0,5.596954724751413e-05,-0.7242550993426975,0.7242550993426975,0.0014755487192839255,0.0004951152256510865
global_band_rel_mean_alpha,36,0.2701281968144813,0.21063280980882854,-0.05949538700565279,-4.326893697061774,0.00012007177130281254,86.0,3.6395329516381025e-05,-0.7211489495015545,0.7211489495015545,0.0015162577241679394,0.00039064320347582303
stat_P3_var,36,142.3221287621392,108.2383987366609,-34.08373002547828,-4.320298279769919,0.00012243074791418144,70.0,8.143309969455004e-06,-0.7200497132949712,0.7200497132949712,0.0015162577241679394,0.00019280483898268466
hjorth_P3_activity,36,142.3221287621392,108.2383987366609,-34.08373002547828,-4.320298279769919,0.00012243074791418144,70.0,8.143309969455004e-06,-0.7200497132949712,0.7200497132949712,0.0015162577241679394,0.00019280483898268466
ratio_T5_beta_alpha,36,0.6576231800357876,0.9178092826914526,0.2601861026556651,4.315101265631748,0.00012432158598029688,102.0,0.0001365947537124157,0.7191835442699702,0.7191835442699702,0.0015163466168808938,0.0008590529432694893
hjorth_F4_complexity,36,2.428074088402151,2.7223187187824704,0.2942446303803193,4.297914248906954,0.00013078139164822452,86.0,3.6395329516381025e-05,0.7163190414827485,0.7163190414827485,0.0015713286608480706,0.00039064320347582303
hemisphere_right_band_rel_mean_alpha,36,0.28301380176180796,0.21950448066960201,-0.06350932109220599,-4.279436261178806,0.0001380942831734751,92.0,6.088233203627169e-05,-0.7132393768551242,0.7132393768551242,0.0016235250507533091,0.0005269922289161152
ratio_F8_theta_alpha,36,0.9427828634386634,1.2859855666389386,0.3432027032002756,4.2768257191540675,0.00013915929006456934,98.0,9.956923895515501e-05,0.7128042865241976,0.7128042865241976,0.0016235250507533091,0.0006969846726860851
hemisphere_left_band_rel_mean_gamma,36,0.018328047819826807,0.02547410810666774,0.007146060286840932,4.269436212189637,0.00014221785274465078,93.0,6.61849626339972e-05,0.7115727019607508,0.7115727019607508,0.001635505306563484,0.0005549884887538307
ratio_O2_beta_alpha,36,0.379953632863107,0.5947412599453249,0.2147876270822179,4.251870913913138,0.0001497555572737733,107.0,0.00020027603022754192,0.7086451523165185,0.7086451523165185,0.0016979327268364438,0.001151587173808366
stat_C3_skew,36,0.01981567791916277,-0.04383204596701687,-0.06364772388617965,-4.243063977476959,0.000153681027886276,108.0,0.00021585807553492486,-0.7071773295716357,0.7071773295716357,0.0017182392701173912,0.0012237024704620742
band_abs_A2A1_gamma,36,0.7116205440404355,1.1694222340452483,0.4578016900048126,4.2249932460979736,0.00016205431278064323,113.0,0.00031152513111010194,0.7041655410152459,0.7041655410152459,0.001763288925247202,0.0016830720170713561
band_rel_Cz_delta,36,0.37804259818477004,0.4295403539771821,0.05149775579241207,4.224866149583112,0.0001621147608444119,104.0,0.00015944891492836177,0.7041443582542238,0.7041443582542238,0.001763288925247202,0.000965085537724295
band_rel_T5_alpha,36,0.2787409541773356,0.20658589113785955,-0.07215506303947597,-4.220340686320711,0.0001642815768863853,91.0,5.596954724751413e-05,-0.7033901143799282,0.7033901143799282,0.001763288925247202,0.0004951152256510865
band_abs_Fz_alpha,36,26.356215521953576,18.776280675912023,-7.579934846041553,-4.209810920485933,0.00016943380300511656,70.0,8.143309969455004e-06,-0.7016351534142572,0.7016351534142572,0.0017946606765673531,0.00019280483898268466
stat_C3_std,36,10.375688504421012,9.446067476633653,-0.9296210277873601,-4.203184508343637,0.00017275698840886865,113.0,0.00031152513111010194,-0.700530751390078,0.700530751390078,0.0017983635469089984,0.0016830720170713561
band_rel_P3_alpha,36,0.3551579563192175,0.2631491887328685,-0.09200876758634899,-4.1994675972047375,0.00017464892794457712,89.0,4.721074947156012e-05,-0.6999112661954652,0.6999112661954652,0.0017983635469089984,0.00043683509568512524
stat_Pz_skew,36,0.08741225957622932,0.011859171107913768,-0.07555308846831553,-4.195897282342183,0.00017648536671529302,105.0,0.00017213073442690074,-0.6993162137172242,0.6993162137172242,0.0017983635469089984,0.0010340689642810083
stat_C3_rms,36,10.387054613466479,9.458350273096771,-0.9287043403697063,-4.18940201568511,0.00017987495470982463,114.0,0.00033473377698101103,-0.6982336692803266,0.6982336692803266,0.0018099917317676104,0.0017611809834621821
stat_C3_var,36,115.30843926823201,94.23225228119581,-21.076186987036223,-4.157999952081187,0.0001971830936837693,116.0,0.0003858958662021905,-0.6929999920135084,0.6929999920135084,0.0019357608587248082,0.0019175689647701443
