n,TP,FP,FN,TN,accuracy,sensitivity,specificity,f1,roc_auc,pr_auc,brier,ece,feature_set,model,n_features,seconds
4266,308,295,772,2891,0.7498827941865917,0.2851851851851852,0.9074074074074074,0.3660130718954248,0.708362395666225,0.42405034325497315,0.17444725581930953,0.049943269585183726,regional_hemispheric_summaries_only,xgboost,45,10.72
4266,533,713,547,2473,0.7046413502109705,0.4935185185185185,0.7762084118016321,0.4582975064488392,0.7070400595196578,0.3967689086745093,0.22378331390748757,0.18081062912983892,relative_bandpower_only,svm_rbf,115,145.09
4266,541,794,539,2392,0.6875293014533521,0.5009259259259259,0.7507846829880728,0.4480331262939959,0.7059951233405407,0.4000185847341293,0.2536793741922552,0.22913474319543617,spectral_absolute_bandpower_only,svm_rbf,115,144.47
4266,256,332,824,2854,0.7290201593999063,0.23703703703703705,0.8957940991839297,0.3069544364508393,0.7026660331078096,0.423531690504475,0.17608690485492526,0.05422526957337083,time_domain_morphology_only,random_forest,168,29.29
4266,315,344,765,2842,0.7400375058602907,0.2916666666666667,0.8920276208411801,0.3622771707878091,0.7013320720280859,0.41708041062966333,0.18022045560807795,0.0670396456991995,regional_hemispheric_summaries_only,gradient_boosting,45,202.09
4266,157,213,923,2973,0.73370839193624,0.14537037037037037,0.9331450094161958,0.21655172413793103,0.6998940677966101,0.37998001274014837,0.1777794870292233,0.03606618221597124,regional_hemispheric_summaries_only,random_forest,45,19.24
4266,639,962,441,2224,0.6711204875761838,0.5916666666666667,0.6980539861895794,0.47668780305856023,0.6915228081188534,0.4188796251212233,0.22080927144689352,0.19602180036819847,best_low_dimensional_stable_combination,logistic_regression,20,1.05
4266,186,326,894,2860,0.7140178152836381,0.17222222222222222,0.8976773383553045,0.23366834170854273,0.6669912929250656,0.34669715654628847,0.18639675244547507,0.05106092697211167,best_low_dimensional_stable_combination,xgboost,20,6.43
4266,198,271,882,2915,0.7297233942803563,0.18333333333333332,0.9149403640929065,0.25564880568108456,0.6611952465648323,0.3631810462220595,0.18521046904588356,0.05015623530716163,band_ratios_only,xgboost,63,20.61
4266,233,359,847,2827,0.7172995780590717,0.21574074074074073,0.8873195229127433,0.27870813397129185,0.6574059542907629,0.3624319181328028,0.19265618768512385,0.07818117548192931,band_ratios_only,gradient_boosting,63,289.49
4266,309,453,771,2733,0.7130801687763713,0.2861111111111111,0.8578154425612052,0.3355048859934853,0.6527487154448863,0.35974182247594566,0.19295886828968928,0.07513216465646495,connectivity_correlation_only,gradient_boosting,215,956.55
4266,129,214,951,2972,0.726910454758556,0.11944444444444445,0.9328311362209667,0.18130709768095574,0.6527288077468555,0.34898267733226696,0.18417578267437623,0.050125019534302234,band_ratios_only,random_forest,63,21.35
4266,220,406,860,2780,0.7032348804500703,0.2037037037037037,0.8725674827369743,0.25791324736225085,0.6502804515124039,0.33691530922282936,0.1940363002160629,0.07915145676492893,best_low_dimensional_stable_combination,gradient_boosting,20,92.46
4266,562,1044,518,2142,0.63384903891233,0.5203703703703704,0.672316384180791,0.4184661206254654,0.6440584966636442,0.34409287719484666,0.21224305319839767,0.1390877516371507,best_low_dimensional_stable_combination,svm_rbf,20,112.86
4266,84,162,996,3024,0.7285513361462729,0.07777777777777778,0.9491525423728814,0.12669683257918551,0.6425816942177582,0.3367071504831193,0.18420431903422407,0.03980895452414441,entropy_only,random_forest,21,17.26
4266,176,237,904,2949,0.7325363338021565,0.16296296296296298,0.9256120527306968,0.23576691225720026,0.6419270651693753,0.35256799839999853,0.18564340501445592,0.041965391196090475,entropy_only,xgboost,21,6.14
4266,150,276,930,2910,0.7172995780590717,0.1388888888888889,0.9133709981167608,0.199203187250996,0.6406821801399641,0.3299655734081706,0.1902996073605251,0.07429090482887953,best_low_dimensional_stable_combination,random_forest,20,17.32
4266,571,976,509,2210,0.6518987341772152,0.5287037037037037,0.6936597614563716,0.43471640654739246,0.640681453581642,0.36100181380831864,0.23962983354075812,0.20973978957643732,band_ratios_only,logistic_regression,63,2.79
4266,527,951,553,2235,0.647444913267698,0.487962962962963,0.7015065913370998,0.41204065676309615,0.6334404280300389,0.34589184147578195,0.2252258081274187,0.16295697752729355,band_ratios_only,svm_rbf,63,206.99
4266,156,213,924,2973,0.7334739803094233,0.14444444444444443,0.9331450094161958,0.2153209109730849,0.6327496163772057,0.34664589803194745,0.18667159907798095,0.056194327238631055,connectivity_correlation_only,random_forest,215,31.54
4266,216,303,864,2883,0.7264416315049227,0.2,0.9048964218455744,0.2701688555347092,0.631410860012555,0.35453609608722164,0.18967925892705256,0.062196993153277785,entropy_only,gradient_boosting,21,97.79
4266,236,406,844,2780,0.7069854664791374,0.21851851851851853,0.8725674827369743,0.27409988385598144,0.6267492618167445,0.3314287897535006,0.19463458313394236,0.06539939460290034,connectivity_correlation_only,xgboost,215,48.88
4266,518,986,562,2200,0.6371308016877637,0.47962962962962963,0.6905210295040803,0.40092879256965946,0.6253949571039966,0.3282152474434153,0.21280428195979695,0.1302715059388414,entropy_only,svm_rbf,21,126.05
4266,532,1041,548,2145,0.6275199249882795,0.4925925925925926,0.6732580037664784,0.40105540897097625,0.6043515031038572,0.30508825958443686,0.30029547723299793,0.2744204894037562,connectivity_correlation_only,svm_rbf,215,198.68
4266,594,1234,486,1952,0.596812001875293,0.55,0.6126804770872567,0.40852819807427787,0.5989819464788078,0.33562128339850106,0.24460840796635702,0.23140421819783794,entropy_only,logistic_regression,21,0.74
4266,572,1290,508,1896,0.5785278949835911,0.5296296296296297,0.5951035781544256,0.38885112168592795,0.5795508707074934,0.30762196658052465,0.3293853801593594,0.3104967445716781,connectivity_correlation_only,logistic_regression,215,8.71
