n,TP,FP,FN,TN,accuracy,sensitivity,specificity,f1,roc_auc,pr_auc,brier,ece,subject_id,feature_set,model
120,25,0,5,90,0.9583333333333334,0.8333333333333334,1.0,0.9090909090909091,1.0,0.9999999999999999,0.03918837050059219,0.13592864378976321,Subject28,time_domain_morphology_only,xgboost
120,0,0,30,90,0.75,0.0,1.0,0.0,0.7625925925925926,0.4652603327772774,0.18183460562488094,0.12259577484801412,Subject29,time_domain_morphology_only,xgboost
120,19,16,11,74,0.775,0.6333333333333333,0.8222222222222222,0.5846153846153846,0.8833333333333333,0.7354972336061413,0.1263703516858014,0.15029564310486115,Subject30,time_domain_morphology_only,xgboost
69,2,10,28,29,0.4492753623188406,0.06666666666666667,0.7435897435897436,0.09523809523809523,0.382051282051282,0.3913018329667692,0.3221179687719095,0.2901929311346317,Subject31,time_domain_morphology_only,xgboost
120,0,0,30,90,0.75,0.0,1.0,0.0,0.8414814814814815,0.7534686325923516,0.16206467308584868,0.12133505459253985,Subject32,time_domain_morphology_only,xgboost
120,7,3,23,87,0.7833333333333333,0.23333333333333334,0.9666666666666667,0.35,0.7181481481481482,0.47799385339878486,0.1670691366153036,0.10544093946615857,Subject33,time_domain_morphology_only,xgboost
120,9,3,21,87,0.8,0.3,0.9666666666666667,0.42857142857142855,0.8822222222222222,0.7130898053029444,0.12945833096893702,0.09916369772205752,Subject34,time_domain_morphology_only,xgboost
120,6,1,24,89,0.7916666666666666,0.2,0.9888888888888889,0.32432432432432434,0.8307407407407408,0.7804542684861283,0.13817818626971803,0.11863966680442294,Subject35,time_domain_morphology_only,xgboost
120,8,0,22,90,0.8166666666666667,0.26666666666666666,1.0,0.42105263157894735,0.9274074074074073,0.8587407667531006,0.11755572976585742,0.13103086790564464,Subject00,hjorth_only,logistic_regression
120,28,13,2,77,0.875,0.9333333333333333,0.8555555555555555,0.7887323943661971,0.9551851851851851,0.8702043103135146,0.11137866352191886,0.17084780967405688,Subject01,hjorth_only,logistic_regression
120,30,90,0,0,0.25,1.0,0.0,0.4,0.6322222222222222,0.3088261602657635,0.7414543103810263,0.74514938474735,Subject02,hjorth_only,logistic_regression
120,6,0,24,90,0.8,0.2,1.0,0.3333333333333333,0.9829629629629629,0.9644668737060043,0.1345269480056673,0.1614930760957375,Subject03,hjorth_only,logistic_regression
114,0,1,30,83,0.7280701754385965,0.0,0.9880952380952381,0.0,0.8944444444444444,0.7136751769434719,0.24232130520969045,0.25545541218180984,Subject04,hjorth_only,logistic_regression
120,26,13,4,77,0.8583333333333333,0.8666666666666667,0.8555555555555555,0.7536231884057971,0.94,0.8560499562414523,0.1142490424502724,0.16642461221384333,Subject05,hjorth_only,logistic_regression
120,24,26,6,64,0.7333333333333333,0.8,0.7111111111111111,0.6,0.8318518518518518,0.7158081656411039,0.18536171398614557,0.21462488430576215,Subject06,hjorth_only,logistic_regression
120,20,12,10,78,0.8166666666666667,0.6666666666666666,0.8666666666666667,0.6451612903225806,0.865925925925926,0.7889348989542783,0.13211042467979406,0.11396166199228559,Subject07,hjorth_only,logistic_regression
120,26,45,4,45,0.5916666666666667,0.8666666666666667,0.5,0.5148514851485149,0.7344444444444445,0.407810879458285,0.25565255611242843,0.29217177549867457,Subject08,hjorth_only,logistic_regression
120,0,7,30,83,0.6916666666666667,0.0,0.9222222222222223,0.0,0.4192592592592593,0.21281489681829258,0.2602655433992365,0.2538659492908112,Subject09,hjorth_only,logistic_regression
123,15,20,15,73,0.7154471544715447,0.5,0.7849462365591398,0.46153846153846156,0.6623655913978495,0.3608765071091298,0.20950606622014206,0.1706429376959236,Subject10,hjorth_only,logistic_regression
120,30,79,0,11,0.3416666666666667,1.0,0.12222222222222222,0.4316546762589928,0.7392592592592593,0.41397909653471776,0.5140426963579882,0.5854425007982862,Subject11,hjorth_only,logistic_regression
120,28,59,2,31,0.49166666666666664,0.9333333333333333,0.34444444444444444,0.47863247863247865,0.6681481481481482,0.32846669861492694,0.4064309709628919,0.45028407544619065,Subject12,hjorth_only,logistic_regression
120,30,62,0,28,0.48333333333333334,1.0,0.3111111111111111,0.4918032786885246,0.6107407407407408,0.2818810823329097,0.3895887028173018,0.43552070431900697,Subject13,hjorth_only,logistic_regression
120,29,73,1,17,0.38333333333333336,0.9666666666666667,0.18888888888888888,0.4393939393939394,0.867037037037037,0.7793847501725994,0.39912158755321875,0.49444651648500026,Subject14,hjorth_only,logistic_regression
